Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,SMOTE,CFS con Best First,6,15,525,7,0.2857142857142857,0.46153846153846156,0.8308404558404558,0.3335889570552146
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,No sampling,No selection,4,4,536,9,0.5,0.3076923076923077,0.9152421652421653,0.3696624287593163
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,Oversampling,No selection,7,19,521,6,0.2692307692307692,0.5384615384615384,0.9157407407407407,0.33823177444832697
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,Undersampling,No selection,7,19,521,6,0.2692307692307692,0.5384615384615384,0.9227207977207977,0.33823177444832697
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,SMOTE,No selection,7,19,521,6,0.2692307692307692,0.5384615384615384,0.9173076923076923,0.33823177444832697
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,No sampling,CFS con Best First,5,1,539,8,0.8333333333333334,0.38461538461538464,0.933974358974359,0.5191768911216301
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,Oversampling,CFS con Best First,8,20,520,5,0.2857142857142857,0.6153846153846154,0.9150284900284901,0.37001594896331685
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,Undersampling,CFS con Best First,8,16,524,5,0.3333333333333333,0.6153846153846154,0.9495014245014245,0.41457881736149643
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,IBk,SMOTE,CFS con Best First,7,16,524,6,0.30434782608695654,0.5384615384615384,0.9274928774928775,0.3699637493526663
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,No sampling,No selection,2,17,523,11,0.10526315789473684,0.15384615384615385,0.743091168091168,0.09987210789442943
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,Oversampling,No selection,2,25,515,11,0.07407407407407407,0.15384615384615385,0.7339743589743589,0.07050144738070671
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,Undersampling,No selection,3,32,508,10,0.08571428571428572,0.23076923076923078,0.7494301994301994,0.09393773894046982
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,SMOTE,No selection,4,38,502,9,0.09523809523809523,0.3076923076923077,0.7349002849002849,0.11363093817140237
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,No sampling,CFS con Best First,2,18,522,11,0.1,0.15384615384615385,0.7272792022792023,0.09543685487055131
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,Oversampling,CFS con Best First,13,540,0,0,0.023508137432188065,1.0,0.7544159544159544,0.0
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,Undersampling,CFS con Best First,13,540,0,0,0.023508137432188065,1.0,0.7379629629629629,0.0
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Naive Bayes,SMOTE,CFS con Best First,13,540,0,0,0.023508137432188065,1.0,0.7311965811965812,0.0
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,No sampling,No selection,5,0,540,8,1.0,0.38461538461538464,0.8565527065527065,0.5496742671009774
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,Oversampling,No selection,7,22,518,6,0.2413793103448276,0.5384615384615384,0.8875356125356125,0.310964756140975
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,Undersampling,No selection,7,22,518,6,0.2413793103448276,0.5384615384615384,0.7741452991452992,0.310964756140975
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,SMOTE,No selection,7,21,519,6,0.25,0.5384615384615384,0.821011396011396,0.31961722488038263
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,No sampling,CFS con Best First,7,0,540,6,1.0,0.5384615384615384,0.9546296296296296,0.6949806949806939
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,Oversampling,CFS con Best First,9,18,522,4,0.3333333333333333,0.6923076923076923,0.9438746438746439,0.4319731067326542
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,Undersampling,CFS con Best First,10,17,523,3,0.37037037037037035,0.7692307692307693,0.9430911680911681,0.4836119152115034
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Random Forest,SMOTE,CFS con Best First,10,17,523,3,0.37037037037037035,0.7692307692307693,0.9468660968660969,0.4836119152115034
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,No sampling,No selection,5,0,540,8,1.0,0.38461538461538464,0.9343304843304844,0.5496742671009774
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,Oversampling,No selection,7,24,516,6,0.22580645161290322,0.5384615384615384,0.8186609686609687,0.29482274929864777
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,Undersampling,No selection,7,24,516,6,0.22580645161290322,0.5384615384615384,0.8705840455840456,0.29482274929864777
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,SMOTE,No selection,7,23,517,6,0.23333333333333334,0.5384615384615384,0.86502849002849,0.3027088134266715
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,No sampling,CFS con Best First,7,1,539,6,0.875,0.5384615384615384,0.9748575498575499,0.6605874616396328
